Title,Company,Apply Date,Decision Date,Outcome,Skillset,Location,Salary Low,Salary High,Job Link,Notes,Identify Date,Posted Date,Location Score,No Salary Info,Fit Score,CV Link,Cover Letter Link,
Scientist Role 2,Company A,2025-03-10,2025-04-07,Hiring Manager,drug discovery / ADCs / research,"Collegeville, PA / Stevenedge, ENG",987654,123456,https://gsk.wd5.myworkdayjobs.com/en-US/GSKCareers/userHome,Baseline fit 6/28: GSK big-pharma gate; strong oncology-translational core, , ,6,N,73,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Team Lead 1,Company B,2025-08-26,2026-07-02,Cold Posting,bioinformatics / research / leadership,"Rockville, MD",?,?,https://www.linkedin.com/jobs/view/sr-director-translational-bioinformatics-at-macrogenics-inc-4270796081,"Re-scan 2026-06-28: posting appears LIVE on LinkedIn, Rockville MD. Possible re-apply. | Baseline fit 6/28: core translational bioinformatics Sr Dir; biotech | LinkedIn: no longer accepting applications (was: Still in Progress?)", , ,8,Y,82,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Staff Scientist,Company C,2025-12-04,2026-03-13,Rejected,IT / machine learning / leadership,"Tarrytown, NY",987654,123456,https://gsk.wd5.myworkdayjobs.com/en-US/GSKCareers/userHome,Baseline fit 6/28: informatics lead; Regeneron big-pharma gate, , ,3,N,64,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Head of Team 3,Company D,2026-01-26,,Application Submitted,,"Cambridge, MA / Stevenedge, ENG",987654,123456,https://gsk.wd5.myworkdayjobs.com/en-US/GSKCareers/userHome,Baseline fit 6/28: research data integration; GSK gate; less oncology, , ,1,N,64,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Analyst 3,Company E,2026-03-03,2026-04-02,Closed Position,leadership / organization / research / gene editing,RTP,?,?,https://gemini.google.com/app/29746f0f67ad8e43?utm_source=app_launcher&utm_medium=owned&utm_campaign=base_allhttps://elevate.bio/about/jobs/5812718004/?gh_jid=5812718004&office=lifeedittherapeutics,CSO and recruiter reached out on 3/3 | Baseline fit 6/28: gene-editing comp-bio VP (target lane); high, , ,8,Y,88,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Analyst 2,Company F,2026-04-13,,Application Submitted,collaboration / data / partnership / regulatorr,"Bethesda, MD",987654,123456,https://www.paycomonline.net/v4/ats/web.php/portal/BFFEFEF0151216F871FDA32CD359CE3F/jobs/54257,Baseline fit 6/28: data officer AVP; nonprofit; partial domain, , ,8,N,74,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Scientist Role 2,Company G,,,Paused - Enterprise-IT (revisit 2026-07-28),AI/Data strategy / agentic AI / leadership / pharma,"Cambridge, MA",987654,123456,https://www.linkedin.com/jobs/view/4399117077/,"Enterprise/GDIT data-AI leadership. Requires prior production AI rollout across org + broad vertical scope - current gap ('spec is first, in progress). Pausing this category ~1 month per VW feedback.",2026-06-28,2026-06-21,1,N,55,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Head of Team 3,Company H,,,Reviewed - Not a fit,AI pre-sales / HR consulting,"Seattle, WA (Hybrid)",987654,123456,https://www.linkedin.com/jobs/view/4419851844/,"Confirmed not a fit (VW): no discovery/R&D, too sales/pre-sales focused. HR/Human Capital consulting.",2026-06-28,,2,N,22,C:\Users\Name,C:\Users\Name\Documents\Jobs,
Team Lead 1,Company I,,,New Lead,data science / predictive modeling / AI drug development / leadership,"New York, NY / Boston, MA / Raleigh, NC (Hybrid)",987654,123456,https://job-boards.greenhouse.io/formationbio/jobs/7530429,"BioSpace. AI-driven drug-development data science (patient selection, clinical-outcome prediction, portfolio). Hybrid 3d/wk. Not enterprise-IT. Different from row 38 (AD Data Engineering). | Stale-check 6/28: recorded ID 7094483 expired (board error); role reposted as 7530429 (Director, Data Science, Boston/NY) - link updated, still LIVE.",2026-06-28,,1,N,70,C:\Users\Name,C:\Users\Name\Documents\Jobs,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
